3568 : [(424.5223388671875, 313.4087829589844)]
3579 : [(818.4514770507812, 418.0171203613281)]
3600 : [(345.4690856933594, 276.2923889160156)]
3613 : [(221.52395629882812, 456.64349365234375), (221.16513061523438, 456.5618896484375)]
3632 : [(360.7893981933594, 423.1866760253906)]
3649 : [(344.4482116699219, 325.3690185546875)]
3652 : [(119.47148895263672, 424.7440185546875)]
3687 : [(350.6540832519531, 57.480525970458984)]
3736 : [(219.906005859375, 413.38568115234375)]
3744 : [(605.5621948242188, 97.55603790283203)]
3745 : [(106.5124740600586, 434.6146545410156)]
3749 : [(253.0766143798828, 452.06524658203125)]
3783 : [(529.6659545898438, 124.48682403564453)]
3786 : [(361.3141174316406, 412.02886962890625)]
3839 : [(566.8417358398438, 406.57269287109375), (567.6474609375, 410.022216796875)]
3869 : [(508.0139465332031, 300.56475830078125)]
3950 : [(182.86875915527344, 421.62200927734375)]
3967 : [(457.5196533203125, 404.7251281738281)]
3977 : [(574.6951293945312, 167.3714141845703)]
3984 : [(341.09136962890625, 318.0264587402344)]
3997 : [(549.4140625, 140.25241088867188)]
4012 : [(250.6610565185547, 83.66034698486328)]
4014 : [(524.4441528320312, 156.91204833984375)]
4080 : [(445.654052734375, 116.53021240234375), (386.5033264160156, 116.96292877197266)]
4147 : [(503.7841796875, 320.7860412597656)]
4161 : [(563.398681640625, 121.00882720947266), (455.51788330078125, 101.29839324951172), (512.7863159179688, 107.39849090576172)]
4178 : [(330.6418762207031, 123.82384490966797)]
4214 : [(369.27349853515625, 60.225460052490234), (391.9269104003906, 57.90815734863281)]
4238 : [(407.6390686035156, 269.4233703613281)]
4253 : [(414.2738037109375, 42.604679107666016)]
4266 : [(243.73370361328125, 456.453369140625)]
4267 : [(509.2745666503906, 272.2732238769531)]
4358 : [(565.9664916992188, 328.25439453125)]
4359 : [(574.9777221679688, 345.1983337402344)]
4361 : [(604.5192260742188, 180.85525512695312)]
4398 : [(338.5281677246094, 58.048152923583984), (340.1484680175781, 56.896671295166016)]
4426 : [(5.602843284606934, 402.6713562011719)]
4446 : [(716.82568359375, 425.0247802734375)]
4451 : [(370.4032897949219, 388.6449279785156)]
4462 : [(640.7584838867188, 443.8678283691406)]
4467 : [(401.0616455078125, 415.5727233886719)]
4473 : [(496.2673645019531, 319.3116760253906)]
4478 : [(244.38223266601562, 87.09423065185547)]
4482 : [(378.65185546875, 115.96782684326172)]
4543 : [(203.29373168945312, 454.4072570800781), (281.07989501953125, 342.2349548339844), (366.33636474609375, 422.9119567871094)]
4564 : [(377.98480224609375, 108.02316284179688)]
4574 : [(424.35784912109375, 273.8454895019531)]
4589 : [(640.7584838867188, 443.8678283691406)]
4598 : [(490.44500732421875, 35.61476135253906)]
4606 : [(818.4514770507812, 418.0171203613281)]
4646 : [(338.25482177734375, 156.98904418945312)]
4659 : [(563.6193237304688, 415.9497985839844)]
4768 : [(212.0623321533203, 137.4102020263672)]
4775 : [(108.01753234863281, 419.5906677246094)]
4776 : [(264.9856872558594, 138.50682067871094)]
4779 : [(392.9040222167969, 105.51251220703125)]
4780 : [(33.61869812011719, 402.6176452636719)]
4802 : [(570.46435546875, 175.8236846923828)]
4911 : [(529.1375122070312, 333.07489013671875)]
5010 : [(523.40185546875, 322.63360595703125)]
5037 : [(520.1721801757812, 329.348388671875)]
5044 : [(817.470458984375, 423.1243591308594)]
5076 : [(807.2950439453125, 420.76104736328125)]
5113 : [(282.2802429199219, 128.06939697265625)]
5116 : [(33.61869812011719, 402.6176452636719)]
5126 : [(233.811767578125, 453.3001708984375)]
5146 : [(338.25482177734375, 156.98904418945312)]
5152 : [(53.705787658691406, 431.079345703125)]
5198 : [(401.0616455078125, 415.5727233886719)]
5233 : [(464.4433288574219, 413.04705810546875)]
5258 : [(458.0251159667969, 413.3477478027344)]
5279 : [(396.0491027832031, 411.3974914550781)]
5296 : [(250.01077270507812, 275.6305847167969)]
5332 : [(282.2802429199219, 128.06939697265625)]
5333 : [(726.3807983398438, 441.4295959472656)]
5359 : [(212.99868774414062, 181.36875915527344)]
5366 : [(509.2745666503906, 272.2732238769531)]
5449 : [(148.50442504882812, 421.52301025390625)]
5462 : [(561.7835693359375, 67.98793029785156)]
5492 : [(335.8805236816406, 349.65234375)]
5548 : [(307.56500244140625, 321.01025390625)]
5551 : [(394.51837158203125, 117.79912567138672)]
5603 : [(492.3734436035156, 403.69989013671875)]
5617 : [(527.6165771484375, 152.39053344726562), (499.42852783203125, 147.588134765625)]
5627 : [(327.52337646484375, 120.55025482177734)]
5631 : [(395.0072326660156, 372.7953796386719)]
5658 : [(341.4020080566406, 402.21502685546875)]
5687 : [(37.830902099609375, 376.8846740722656)]
5693 : [(328.1458435058594, 127.49658966064453)]
5704 : [(323.5394287109375, 322.1451721191406)]
5719 : [(6.593869209289551, 392.50347900390625)]
5722 : [(474.95880126953125, 107.43034362792969)]
5735 : [(25.314672470092773, 401.37506103515625)]
5805 : [(281.86383056640625, 161.00289916992188)]
5807 : [(498.9440002441406, 121.63008880615234)]
5857 : [(450.3343505859375, 157.684326171875)]
5936 : [(535.2796630859375, 134.93641662597656)]
5937 : [(606.7425537109375, 433.168701171875)]
6037 : [(101.07917785644531, 428.89056396484375)]
6044 : [(551.7471923828125, 132.72108459472656)]
6075 : [(264.423828125, 137.1710205078125)]
6082 : [(6.593869209289551, 392.50347900390625)]
6104 : [(342.4124450683594, 118.9273452758789)]
6124 : [(436.3272399902344, 43.68812942504883)]
6129 : [(134.6311798095703, 443.21099853515625)]
6136 : [(229.4490966796875, 122.48883819580078)]
6158 : [(477.1097717285156, 384.64117431640625)]
6168 : [(626.8032836914062, 434.3824462890625)]
6173 : [(505.1319274902344, 317.57928466796875)]
6205 : [(358.9794006347656, 143.3303680419922)]
6210 : [(736.5147094726562, 425.3363952636719)]
6211 : [(444.605712890625, 331.03240966796875), (403.4501953125, 40.98786163330078)]
6233 : [(561.1775512695312, 326.5522155761719)]
6287 : [(244.6554718017578, 452.7284851074219)]
6293 : [(512.979248046875, 351.9177551269531)]
6343 : [(7.943876266479492, 382.0530090332031)]
6344 : [(85.02949523925781, 429.09869384765625)]
6426 : [(352.37451171875, 319.81787109375)]
6430 : [(626.9697875976562, 179.52830505371094)]
6438 : [(252.9109649658203, 106.54779815673828)]
6443 : [(366.6169738769531, 123.2279052734375)]
6495 : [(225.3966064453125, 442.1477355957031)]
6513 : [(182.86875915527344, 421.62200927734375)]
6574 : [(437.9111022949219, 163.01756286621094)]
6575 : [(622.4095458984375, 437.9315490722656)]
6613 : [(263.9614562988281, 429.41619873046875)]
6690 : [(76.35989379882812, 430.67352294921875)]
6698 : [(104.50341033935547, 416.6381530761719)]
6701 : [(372.3124084472656, 126.1700210571289)]
6703 : [(441.4971008300781, 115.4334487915039)]
6712 : [(474.3330993652344, 154.42002868652344)]
6714 : [(64.20211791992188, 434.0495910644531)]
6754 : [(349.47174072265625, 317.38323974609375)]
6766 : [(390.0025329589844, 401.86627197265625)]
6779 : [(347.6116638183594, 47.990909576416016)]
6781 : [(229.18991088867188, 216.45513916015625)]
6857 : [(587.0595092773438, 330.27215576171875)]
6873 : [(352.4081115722656, 333.7200012207031)]
6888 : [(101.91941833496094, 437.3630065917969)]
6903 : [(341.09136962890625, 318.0264587402344)]
6970 : [(599.007080078125, 85.62682342529297)]
